time	V(buffer_out)
3.993378571428790e-007	6.029886e-001
3.993664285714505e-007	6.030023e-001
3.993950000000220e-007	6.030161e-001
3.994521428571649e-007	6.030436e-001
3.995092857143078e-007	6.030710e-001
3.995664285714508e-007	6.030985e-001
3.996235714285937e-007	6.031260e-001
3.996807142857366e-007	6.031535e-001
3.997378571428795e-007	6.031810e-001
3.997950000000224e-007	6.032085e-001
3.998864285714478e-007	6.032526e-001
3.999778571428733e-007	6.032966e-001
4.000692857142987e-007	6.033407e-001
4.001607142857242e-007	6.033848e-001
4.002521428571496e-007	6.034288e-001
4.003435714285750e-007	6.034729e-001
4.004350000000005e-007	6.035170e-001
4.004907142857148e-007	6.035438e-001
4.005464285714292e-007	6.035707e-001
4.006021428571435e-007	6.035975e-001
4.006578571428578e-007	6.036244e-001
4.007135714285722e-007	6.036512e-001
4.007692857142865e-007	6.036781e-001
4.008250000000009e-007	6.037049e-001
4.008564285714295e-007	6.037201e-001
4.008878571428581e-007	6.037352e-001
4.009192857142867e-007	6.037503e-001
4.009507142857153e-007	6.037654e-001
4.009821428571440e-007	6.037805e-001
4.010135714285725e-007	6.037957e-001
4.010450000000011e-007	6.038108e-001
4.010735714285726e-007	6.038245e-001
4.011021428571441e-007	6.038383e-001
4.011307142857155e-007	6.038520e-001
4.011592857142870e-007	6.038658e-001
4.011878571428584e-007	6.038795e-001
4.012164285714299e-007	6.038932e-001
4.012450000000014e-007	6.039069e-001
4.012735714285728e-007	6.039206e-001
4.013021428571443e-007	6.039344e-001
4.013307142857158e-007	6.039481e-001
4.013592857142872e-007	6.039618e-001
4.013878571428587e-007	6.039755e-001
4.014164285714302e-007	6.039891e-001
4.014450000000016e-007	6.040028e-001
4.014764285714302e-007	6.040179e-001
4.015078571428588e-007	6.040329e-001
4.015392857142874e-007	6.040479e-001
4.015707142857160e-007	6.040629e-001
4.016021428571447e-007	6.040779e-001
4.016335714285732e-007	6.040929e-001
4.016650000000018e-007	6.041079e-001
4.016978571428590e-007	6.041236e-001
4.017307142857162e-007	6.041392e-001
4.017635714285734e-007	6.041548e-001
4.017964285714306e-007	6.041704e-001
4.018292857142877e-007	6.041860e-001
4.018621428571450e-007	6.042016e-001
4.018950000000021e-007	6.042172e-001
4.019292857142879e-007	6.042334e-001
4.019635714285736e-007	6.042496e-001
4.019978571428593e-007	6.042658e-001
4.020321428571451e-007	6.042820e-001
4.020664285714309e-007	6.042981e-001
4.021007142857166e-007	6.043143e-001
4.021350000000024e-007	6.043304e-001
4.021678571428595e-007	6.043458e-001
4.022007142857167e-007	6.043612e-001
4.022335714285739e-007	6.043766e-001
