time	V(buffer_out)
8.634449999999858e-007	5.986832e-001
8.634549999999857e-007	5.986814e-001
8.634649999999857e-007	5.986797e-001
8.634749999999856e-007	5.986780e-001
8.634849999999856e-007	5.986763e-001
8.634949999999855e-007	5.986746e-001
8.635049999999855e-007	5.986729e-001
8.635149999999855e-007	5.986712e-001
8.635249999999854e-007	5.986695e-001
8.635349999999854e-007	5.986678e-001
8.635449999999853e-007	5.986661e-001
8.635549999999853e-007	5.986644e-001
8.635649999999853e-007	5.986627e-001
8.635749999999852e-007	5.986611e-001
8.635849999999852e-007	5.986594e-001
8.635949999999851e-007	5.986577e-001
8.636049999999851e-007	5.986561e-001
8.636149999999850e-007	5.986544e-001
8.636349999999850e-007	5.986511e-001
8.636649999999848e-007	5.986462e-001
8.636964285714132e-007	5.986410e-001
8.637278571428418e-007	5.986359e-001
8.637592857142702e-007	5.986309e-001
8.637907142856986e-007	5.986258e-001
8.638221428571270e-007	5.986209e-001
8.638535714285555e-007	5.986160e-001
8.638849999999839e-007	5.986111e-001
8.640978571428402e-007	5.985790e-001
8.643107142856964e-007	5.985494e-001
8.645235714285527e-007	5.985222e-001
8.647364285714089e-007	5.984974e-001
8.649492857142652e-007	5.984751e-001
8.651621428571214e-007	5.984552e-001
8.653749999999777e-007	5.984378e-001
8.655549999999770e-007	5.984254e-001
8.657349999999762e-007	5.984151e-001
8.659149999999755e-007	5.984068e-001
8.660949999999747e-007	5.984007e-001
8.662749999999740e-007	5.983967e-001
8.664549999999732e-007	5.983948e-001
8.666349999999725e-007	5.983949e-001
8.668578571428287e-007	5.983983e-001
8.670807142856849e-007	5.984048e-001
8.673035714285412e-007	5.984147e-001
8.675264285713973e-007	5.984277e-001
8.677492857142536e-007	5.984441e-001
8.679721428571097e-007	5.984636e-001
8.681949999999660e-007	5.984864e-001
8.683164285713940e-007	5.985001e-001
8.684378571428222e-007	5.985147e-001
8.685592857142502e-007	5.985302e-001
8.686807142856782e-007	5.985465e-001
8.688021428571063e-007	5.985636e-001
8.689235714285344e-007	5.985817e-001
8.690449999999625e-007	5.986006e-001
8.691749999999619e-007	5.986217e-001
8.693421428571040e-007	5.986502e-001
8.695092857142463e-007	5.986801e-001
8.696764285713884e-007	5.987114e-001
8.698435714285306e-007	5.987440e-001
8.700107142856727e-007	5.987779e-001
8.701778571428149e-007	5.988132e-001
8.703449999999570e-007	5.988498e-001
8.707307142856697e-007	5.989399e-001
8.711164285713824e-007	5.990338e-001
8.715021428570950e-007	5.991316e-001
8.718878571428078e-007	5.992331e-001
8.722735714285205e-007	5.993383e-001
8.726592857142331e-007	5.994474e-001
8.730449999999458e-007	5.995603e-001
8.733349999999446e-007	5.996455e-001
8.736249999999434e-007	5.997308e-001
8.739149999999422e-007	5.998162e-001
8.742049999999410e-007	5.999017e-001
8.744949999999398e-007	5.999874e-001
8.747849999999386e-007	6.000732e-001
8.750749999999374e-007	6.001590e-001
8.753092857142221e-007	6.002279e-001
8.755435714285069e-007	6.002962e-001
8.757778571427916e-007	6.003639e-001
8.760121428570763e-007	6.004311e-001
8.762464285713610e-007	6.004978e-001
8.764807142856458e-007	6.005640e-001
8.767149999999305e-007	6.006296e-001
8.768035714285016e-007	6.006542e-001
8.768921428570726e-007	6.006787e-001
8.769807142856437e-007	6.007031e-001
8.770692857142148e-007	6.007274e-001
8.771578571427859e-007	6.007515e-001
8.772464285713569e-007	6.007756e-001
8.773349999999280e-007	6.007996e-001
8.773907142856420e-007	6.008146e-001
8.774464285713560e-007	6.008296e-001
8.775021428570701e-007	6.008446e-001
8.775578571427842e-007	6.008595e-001
8.776135714284983e-007	6.008743e-001
8.776692857142123e-007	6.008891e-001
8.777249999999263e-007	6.009039e-001
8.777549999999262e-007	6.009119e-001
8.777849999999261e-007	6.009198e-001
8.778149999999260e-007	6.009277e-001
8.778449999999258e-007	6.009356e-001
8.778749999999257e-007	6.009435e-001
8.779049999999256e-007	6.009514e-001
8.779349999999255e-007	6.009592e-001
8.779707142856396e-007	6.009686e-001
8.780064285713537e-007	6.009779e-001
8.780421428570678e-007	6.009873e-001
8.780778571427821e-007	6.009966e-001
8.781135714284962e-007	6.010058e-001
8.781492857142103e-007	6.010151e-001
8.781849999999244e-007	6.010243e-001
8.782364285713528e-007	6.010376e-001
8.782878571427812e-007	6.010508e-001
8.783392857142095e-007	6.010641e-001
8.783907142856378e-007	6.010772e-001
8.784421428570662e-007	6.010904e-001
8.784935714284946e-007	6.011035e-001
8.785449999999229e-007	6.011165e-001
8.786321428570654e-007	6.011386e-001
8.787192857142079e-007	6.011606e-001
8.788064285713504e-007	6.011824e-001
8.788935714284929e-007	6.012042e-001
8.789807142856354e-007	6.012258e-001
8.790678571427779e-007	6.012474e-001
8.791549999999204e-007	6.012688e-001
8.791907142856345e-007	6.012776e-001
8.792264285713486e-007	6.012863e-001
8.792621428570628e-007	6.012950e-001
8.792978571427770e-007	6.013038e-001
8.793335714284911e-007	6.013125e-001
8.793692857142052e-007	6.013211e-001
8.794049999999194e-007	6.013298e-001
8.794149999999193e-007	6.013322e-001
8.794478571427764e-007	6.013402e-001
8.794807142856333e-007	6.013481e-001
8.795135714284904e-007	6.013561e-001
8.795464285713473e-007	6.013640e-001
8.795792857142044e-007	6.013719e-001
8.796121428570613e-007	6.013798e-001
8.796449999999184e-007	6.013877e-001
8.796735714284897e-007	6.013945e-001
8.797021428570609e-007	6.014013e-001
8.797307142856323e-007	6.014081e-001
8.797592857142036e-007	6.014149e-001
8.797878571427750e-007	6.014217e-001
8.798164285713462e-007	6.014285e-001
8.798449999999175e-007	6.014353e-001
8.798721428570722e-007	6.014417e-001
8.798992857142267e-007	6.014482e-001
8.799264285713814e-007	6.014546e-001
8.799535714285361e-007	6.014610e-001
8.799807142856907e-007	6.014674e-001
8.800078571428453e-007	6.014738e-001
8.800350000000000e-007	6.014802e-001
8.800649999999998e-007	6.014872e-001
8.800949999999997e-007	6.014942e-001
8.801249999999996e-007	6.015012e-001
8.801549999999995e-007	6.015082e-001
8.801849999999993e-007	6.015152e-001
8.802149999999992e-007	6.015222e-001
8.802449999999991e-007	6.015292e-001
8.802778571428561e-007	6.015369e-001
8.803107142857131e-007	6.015445e-001
8.803435714285701e-007	6.015521e-001
8.803764285714271e-007	6.015597e-001
8.804092857142841e-007	6.015673e-001
8.804421428571411e-007	6.015749e-001
8.804749999999981e-007	6.015825e-001
8.805092857142837e-007	6.015904e-001
8.805435714285693e-007	6.015983e-001
8.805778571428549e-007	6.016061e-001
8.806121428571404e-007	6.016140e-001
8.806464285714260e-007	6.016218e-001
8.806807142857115e-007	6.016296e-001
8.807149999999971e-007	6.016374e-001
8.807478571428542e-007	6.016449e-001
8.807807142857111e-007	6.016524e-001
8.808135714285682e-007	6.016599e-001
8.808464285714251e-007	6.016673e-001
8.808792857142822e-007	6.016747e-001
8.809121428571391e-007	6.016822e-001
8.809449999999962e-007	6.016896e-001
8.809735714285675e-007	6.016960e-001
8.810021428571387e-007	6.017024e-001
8.810307142857101e-007	6.017088e-001
8.810592857142814e-007	6.017152e-001
8.810878571428528e-007	6.017216e-001
8.811164285714240e-007	6.017280e-001
8.811449999999953e-007	6.017344e-001
8.811692857142810e-007	6.017398e-001
8.811935714285666e-007	6.017453e-001
8.812178571428522e-007	6.017507e-001
8.812421428571377e-007	6.017560e-001
8.812664285714234e-007	6.017614e-001
8.812907142857090e-007	6.017668e-001
8.813149999999946e-007	6.017721e-001
8.813449999999945e-007	6.017787e-001
8.813721428571372e-007	6.017847e-001
8.813992857142800e-007	6.017907e-001
8.814264285714227e-007	6.017967e-001
8.814535714285655e-007	6.018026e-001
8.814807142857082e-007	6.018086e-001
8.815078571428510e-007	6.018145e-001
8.815349999999937e-007	6.018204e-001
8.816007142857077e-007	6.018347e-001
8.816664285714217e-007	6.018489e-001
8.817321428571357e-007	6.018631e-001
8.817978571428498e-007	6.018771e-001
8.818635714285638e-007	6.018912e-001
8.819292857142778e-007	6.019051e-001
8.819949999999918e-007	6.019189e-001
8.820249999999917e-007	6.019253e-001
8.820449999999916e-007	6.019294e-001
8.820649999999915e-007	6.019336e-001
8.820849999999914e-007	6.019378e-001
8.821049999999913e-007	6.019419e-001
8.821149999999913e-007	6.019440e-001
8.821249999999913e-007	6.019461e-001
8.821349999999912e-007	6.019481e-001
8.821449999999912e-007	6.019502e-001
8.821549999999911e-007	6.019523e-001
8.821649999999911e-007	6.019543e-001
8.821749999999911e-007	6.019564e-001
8.821849999999910e-007	6.019585e-001
8.821949999999910e-007	6.019605e-001
8.822049999999909e-007	6.019626e-001
8.822149999999909e-007	6.019647e-001
8.822249999999908e-007	6.019667e-001
8.822449999999908e-007	6.019708e-001
8.822649999999907e-007	6.019748e-001
8.822849999999906e-007	6.019790e-001
8.823049999999905e-007	6.019830e-001
8.823249999999904e-007	6.019871e-001
8.823449999999903e-007	6.019911e-001
8.823649999999903e-007	6.019952e-001
8.823749999999902e-007	6.019972e-001
8.823849999999902e-007	6.019992e-001
8.823949999999901e-007	6.020012e-001
8.824049999999901e-007	6.020032e-001
8.824149999999901e-007	6.020052e-001
8.824249999999900e-007	6.020072e-001
8.824349999999900e-007	6.020092e-001
8.824449999999899e-007	6.020112e-001
8.824549999999899e-007	6.020132e-001
8.824649999999898e-007	6.020152e-001
8.824749999999898e-007	6.020172e-001
8.824849999999898e-007	6.020192e-001
8.824949999999897e-007	6.020212e-001
8.825049999999897e-007	6.020232e-001
8.825149999999896e-007	6.020252e-001
8.825249999999896e-007	6.020271e-001
8.825349999999896e-007	6.020291e-001
8.825449999999895e-007	6.020311e-001
8.825549999999895e-007	6.020330e-001
8.825649999999894e-007	6.020350e-001
8.825749999999894e-007	6.020370e-001
8.825849999999893e-007	6.020389e-001
8.825949999999893e-007	6.020409e-001
8.826049999999893e-007	6.020429e-001
8.826149999999892e-007	6.020448e-001
8.826249999999892e-007	6.020468e-001
8.826449999999891e-007	6.020507e-001
8.826749999999890e-007	6.020564e-001
8.827164285714173e-007	6.020644e-001
8.827578571428458e-007	6.020724e-001
8.827992857142742e-007	6.020803e-001
8.828407142857026e-007	6.020881e-001
8.828821428571309e-007	6.020959e-001
8.829235714285594e-007	6.021037e-001
8.829649999999878e-007	6.021113e-001
8.830164285714161e-007	6.021208e-001
8.830678571428445e-007	6.021301e-001
8.831192857142729e-007	6.021394e-001
8.831707142857012e-007	6.021486e-001
8.832221428571295e-007	6.021577e-001
8.832735714285579e-007	6.021666e-001
8.833249999999863e-007	6.021755e-001
8.833949999999860e-007	6.021875e-001
8.834649999999857e-007	6.021992e-001
8.835349999999854e-007	6.022107e-001
8.836049999999851e-007	6.022221e-001
8.836749999999848e-007	6.022332e-001
8.837449999999845e-007	6.022441e-001
8.838149999999842e-007	6.022549e-001
8.838507142856984e-007	6.022603e-001
8.838864285714125e-007	6.022656e-001
8.839221428571266e-007	6.022709e-001
8.839578571428408e-007	6.022761e-001
8.839935714285549e-007	6.022812e-001
8.840292857142691e-007	6.022863e-001
8.840649999999832e-007	6.022913e-001
8.841007142856973e-007	6.022963e-001
8.841364285714114e-007	6.023012e-001
8.841721428571256e-007	6.023060e-001
8.842078571428398e-007	6.023108e-001
8.842435714285539e-007	6.023155e-001
8.842792857142680e-007	6.023201e-001
8.843149999999822e-007	6.023247e-001
8.843564285714105e-007	6.023300e-001
